,beta0,beta1,beta2,beta3,tau1,tau2
2022-05-10,71.99207656184137,-69.57047964895524,0.8492112078821834,55.4200938616228,-1288.1665259230415,-2418.029999877102
2022-05-11,58.10196812865653,-55.67531559931193,-2.077207287668801,70.76455597919553,-1232.6508064077625,-2098.382532084963
2022-05-12,67.31156301676775,-64.8779012538141,0.8261746305337602,52.3284548169428,-1233.3602836709733,-2007.7867030423115
2022-05-13,0.9180076616169154,50.1046746738,88.59248509300902,51.06677454421463,0.020384132604129728,0.0198256182045106
2022-05-16,0.9162645481036462,52.63261047013118,93.13405612134238,54.566957737720855,0.019360346620520347,0.018772865533271624
2022-05-17,0.9290359825800599,53.43731051699732,96.23018858583757,55.44820922332555,0.018870937261546764,0.01831804004426158
2022-05-18,0.9282308380175183,53.249548338019984,94.76570994373867,52.9686258598492,0.01926113286052935,0.018726752535852435
2022-05-19,0.9289510733447909,54.97433737769779,98.85355414952478,56.14935196990602,0.018493802377560885,0.017802112513128278
2022-05-20,1.3693302149366162,41.86810724928732,57.967118464184445,-3.4034398984979175,0.04002589734400039,1.4963540982371881
2022-05-23,0.9429851337391636,55.69700389714771,100.68159876209594,58.096170285200245,0.018067552453667465,0.01753171984606709
2022-05-24,0.9332607082109273,56.518015767343655,101.096413665181,59.18224815307068,0.017868184603913744,0.017498322561179096
2022-05-25,0.9403127118360483,54.608505234976604,97.85008938791755,57.59583541015852,0.018473318978753792,0.017936725047771968
2022-05-26,0.9491757308608443,55.11963229156967,98.30919644189979,57.57953138135335,0.018368367136348065,0.01785065769464444
2022-05-27,0.9459727386261131,55.69381342563821,99.41693001781191,58.30121005760543,0.018182118555163978,0.01766395796155678
2022-05-30,0.953323787971104,59.08816359746471,107.45773876384567,62.41388201458643,0.016961609739644747,0.01645923077210967
2022-05-31,0.9712913872375856,58.68019646750728,106.90858627889301,62.23663554537805,0.01699974347897916,0.01653584094446869
2022-06-01,0.9730591693367032,58.66833854792738,106.81963144076505,59.844018383483565,0.01719724408579077,0.016705490849206157
2022-06-06,0.988748976134609,63.85361121191299,118.45026043443018,68.99846731077905,0.015471783063102136,0.014909328768325042
2022-06-07,0.9813947967958394,63.900700162553306,117.24547870938545,67.77713142242249,0.015613740759332716,0.01515622165924095
2022-06-08,1.4596562795358614,37.45452611306895,58.72445875133067,-3.727243983635583,0.041552566798071004,1.4531836218639334
2022-06-09,0.9868885132781808,65.54476688536133,121.31182306474466,71.21650308985487,0.015019041239629329,0.01475056132553878
2022-06-10,0.9929897360504564,65.41422695271497,120.57243812774728,70.5406898767688,0.015118494945381018,0.01480349323003816
2022-06-13,0.9972947056942723,66.36689149115705,122.162334077997,71.31348440442832,0.014970271369436659,0.01456117136824954
2022-06-14,1.0038905537251217,66.3293021991952,120.97980363680755,71.22016016767303,0.015044915768491979,0.014624583948051066
2022-06-15,0.9941057957445121,70.3766576346029,132.29077135087573,75.71418859577223,0.014024947293636214,0.013523238505139052
2022-06-16,0.9984145801777574,70.67834339394304,130.74333129017091,76.01709138598338,0.014045819147558791,0.013651227000236285
2022-06-17,0.9970707359595942,68.9856358103412,126.26216736357316,75.02921526461455,0.014428212594228225,0.014031678088617387
2022-06-20,1.0081576122335691,73.97704858455273,138.88583897629897,81.43003212026922,0.013285045681566335,0.012816219405869973
2022-06-21,1.0152619659674524,74.92543833373941,139.94753685406562,81.95584180538104,0.013110855797735837,0.012854416892135857
2022-06-22,0.9962272561751561,75.31441495202057,138.47610392215972,79.94928027123447,0.013309336855929872,0.01295246322810864
2022-06-23,0.9773420337682666,77.47543283337266,141.99976513007806,84.2705246122788,0.012884298873074327,0.01261735244087654
2022-06-24,0.9758757463371747,77.78134748859799,143.90488539923638,82.71029788071323,0.012885786619529686,0.012540312203954466
2022-06-27,0.9844767110716519,83.31143839222578,153.57668804806747,90.66728504014787,0.011990351151774813,0.01164956355982798
